Date          Time        Pos Samples   Neg Samples
2015.12.22    04:48:56             10            90
2015.12.22    04:50:21             10            90
2015.12.22    04:51:47             10            90
2015.12.22    04:53:13             10            90
2015.12.22    04:54:39             10            90
2015.12.22    04:56:05             10            90
2015.12.22    04:57:30             10            90
2015.12.22    04:58:56             10            90
2015.12.22    05:00:21             10            90
2015.12.22    05:01:47             10            90
2015.12.22    05:03:14             10            90
2015.12.22    05:04:42             10            90
2015.12.22    05:06:10             10            90
2015.12.22    05:07:36             10            90
2015.12.22    05:09:02             10            90
2015.12.22    05:10:27             10            90
2015.12.22    05:11:57             10            90
2015.12.22    05:13:23             10            90
2015.12.22    05:14:52             10            90
2015.12.22    05:16:17             10            90
2015.12.22    05:17:44             10            90
2015.12.22    05:19:11             10            90
2015.12.22    05:20:36             10            90
2015.12.22    05:22:02             10            90
2015.12.22    05:23:29             10            90
2015.12.22    05:24:54             10            90
2015.12.22    05:26:21             10            90
2015.12.22    05:27:46             10            90
2015.12.22    05:29:14             10            90
2015.12.22    05:30:39             10            90
2015.12.22    05:32:05             10            90
2015.12.22    05:33:32             10            90
2015.12.22    05:34:58             10            90
2015.12.22    05:36:23             10            90
2015.12.22    05:37:50             10            90
2015.12.22    05:39:17             10            90
2015.12.22    05:40:43             10            90
2015.12.22    05:42:08             10            90
2015.12.22    05:43:34             10            90
2015.12.22    05:45:00             10            90
2015.12.22    05:46:32             10            90
2015.12.22    05:47:58             10            90
2015.12.22    05:49:24             10            90
2015.12.22    05:50:50             10            90
2015.12.22    05:52:15             10            90
2015.12.22    05:53:41             10            90
2015.12.22    05:55:07             10            90
2015.12.22    05:56:33             10            90
2015.12.22    05:58:00             10            90
2015.12.22    05:59:26             10            90
2015.12.22    06:00:51             10            90
2015.12.22    06:02:17             10            90
2015.12.22    06:03:43             10            90
2015.12.22    06:05:09             10            90
2015.12.22    06:06:35             10            90
2015.12.22    06:08:07             10            90
2015.12.22    06:09:33             10            90
2015.12.22    06:10:58             10            90
2015.12.22    06:12:24             10            90
2015.12.22    06:13:58             10            90
2015.12.22    06:15:27             10            90
2015.12.22    06:16:54             10            90
2015.12.22    06:18:20             10            90
2015.12.22    06:19:46             10            90
2015.12.22    06:21:11             10            90
2015.12.22    06:22:37             10            90
2015.12.22    06:24:03             10            90
2015.12.22    06:25:29             10            90
2015.12.22    06:26:54             10            90
2015.12.22    06:28:20             10            90
2015.12.22    06:29:46             10            90
2015.12.22    06:31:11             10            90
2015.12.22    06:32:39             10            90
2015.12.22    06:34:05             10            90
2015.12.22    06:35:32             10            90
2015.12.22    06:36:59             10            90
2015.12.22    06:38:25             10            90
2015.12.22    06:39:50             10            90
2015.12.22    06:41:16             10            90
2015.12.22    06:42:41             10            90
2015.12.22    06:44:07             10            90
2015.12.22    06:45:33             10            90
2015.12.22    06:47:01             10            90
2015.12.22    06:48:27             10            90
2015.12.22    06:49:53             10            90
2015.12.22    06:51:19             10            90
2015.12.22    06:52:45             10            90
2015.12.22    06:54:12             10            90
2015.12.22    06:55:38             10            90
2015.12.22    06:57:05             10            90
2015.12.22    06:58:31             10            90
2015.12.22    06:59:57             10            90
2015.12.22    07:01:23             10            90
2015.12.22    07:02:49             10            90
2015.12.22    07:04:15             10            90
2015.12.22    07:05:40             10            90
2015.12.22    07:07:06             10            90
2015.12.22    07:08:33             10            90
2015.12.22    07:09:58             10            90
2015.12.22    07:11:25             10            90
2015.12.22    07:12:56             10            90
2015.12.22    07:14:24             10            90
2015.12.22    07:15:49             10            90
2015.12.22    07:17:21             10            90
2015.12.22    07:18:53             10            90
2015.12.22    07:20:18             10            90
2015.12.22    07:21:44             10            90
2015.12.22    07:23:10             10            90
2015.12.22    07:24:35             10            90
2015.12.22    07:26:01             10            90
2015.12.22    07:27:27             10            90
2015.12.22    07:28:53             10            90
2015.12.22    07:30:19             10            90
2015.12.22    07:31:45             10            90
2015.12.22    07:33:11             10            90
2015.12.22    07:34:38             10            90
2015.12.22    07:36:05             10            90
2015.12.22    07:37:30             10            90
2015.12.22    07:38:56             10            90
2015.12.22    07:40:22             10            90
2015.12.22    07:41:48             10            90
2015.12.22    07:43:14             10            90
2015.12.22    07:44:39             10            90
2015.12.22    07:46:05             10            90
2015.12.22    07:47:30             10            90
2015.12.22    07:48:57             10            90
2015.12.22    07:50:24             10            90
2015.12.22    07:51:50             10            90
2015.12.22    07:53:18             10            90
2015.12.22    07:54:44             10            90
2015.12.22    07:56:09             10            90
2015.12.22    07:57:35             10            90
2015.12.22    07:59:02             10            90
2015.12.22    08:00:29             10            90
2015.12.22    08:01:55             10            90
2015.12.22    08:03:24             10            90
2015.12.22    08:04:51             10            90
2015.12.22    08:06:16             10            90
2015.12.22    08:07:41             10            90
2015.12.22    08:09:07             10            90
2015.12.22    08:10:32             10            90
2015.12.22    08:11:58             10            90
2015.12.22    08:13:24             10            90
2015.12.22    08:14:50             10            90
2015.12.22    08:16:16             10            90
2015.12.22    08:17:42             10            90
2015.12.22    08:19:07             10            90
2015.12.22    08:20:34             10            90
2015.12.22    08:22:00             10            90
